Category,Restaurant Name,Price_Range_Int,google_place_id,google_formatted_address,google_lat,google_lng,google_types
Asian Fusion,Fishman Lobster Clubhouse Restaurant,3,ChIJ28ikZwLU1IkR1kc5w0E-x9E,"4020 Finch Ave E, Scarborough, ON M1S 3T6",43.8019369,-79.2954005,"seafood_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Spring Rolls Go,,ChIJUwVCRWzL1IkRJsuzLoRrg6Y,"348 Broadview Ave, Toronto, ON M4M 2G9",43.6649266,-79.3526797,"sushi_restaurant,meal_delivery,asian_restaurant,food_delivery,deli,food_store,meal_takeaway,japanese_restaurant,store,restaurant,food,point_of_interest,establishment"
Asian Fusion,Takimi,2,ChIJAXUnWbYtK4gRRtDMUrkeOb8,"6233 Bathurst St, North York, ON M2R 2A5",43.7919403,-79.4445223,"japanese_restaurant,asian_restaurant,meal_delivery,meal_takeaway,food_delivery,sushi_restaurant,chinese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Kosher Wok and Roll,2,ChIJ6fSgv_4zK4gRVPdvmOVRVhA,"3022 Bathurst St, North York, ON M6B 3B6",43.7180353,-79.4296704,"restaurant,food,point_of_interest,establishment"
Asian Fusion,Poons Express,,ChIJEcijO9gwK4gR_PjtaxphuAk,"1927 Weston Rd, York, ON M9N 1W7",43.700555,-79.5172,"restaurant,asian_restaurant,chinese_restaurant,food,point_of_interest,establishment"
Asian Fusion,Sushi Legend,2,ChIJlbNU42rR1IkRr4dUJ4b_66o,"Chartwell Shopping Centre, 175 Commander Blvd unit 2, Scarborough, ON M1S 5B8",43.7965841,-79.2699727,"sushi_restaurant,japanese_restaurant,restaurant,point_of_interest,food,establishment"
Asian Fusion,Lobby Lounge & Restaurant,,ChIJczLXSSY1K4gRO8rpxcxtmMI,"90 Bloor St E, Toronto, ON M4W 1A7",43.6708779,-79.3845954,"restaurant,food,point_of_interest,establishment"
Asian Fusion,Chaihana,2,ChIJg-yUEf0tK4gRdtjmvvfNS9w,"1000 Finch Ave W #122, North York, ON M3J 2V5",43.7692773,-79.4686576,"restaurant,breakfast_restaurant,korean_restaurant,meal_takeaway,food,point_of_interest,establishment"
Asian Fusion,Spring Sushi,2,ChIJ028Nzco0K4gRR2rUdyHwc28,"10 Dundas St E 500, 5th Floor, Toronto, ON M7A 2A1",43.656705,-79.3806269,"sushi_restaurant,buffet_restaurant,japanese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Minimarket Restaurant and Bar,,ChIJ__-D2PE0K4gRijFPEdCmJmc,"596 College St, Toronto, ON M6G 1B4",43.6552889,-79.4140586,"ramen_restaurant,japanese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Regal On Church,,ChIJIyE2BrM0K4gR1Brf5WxP9AA,"491 Church St 2nd floor, Toronto, ON M4Y 2C6",43.6652142,-79.3804813,"health,point_of_interest,establishment"
Asian Fusion,Fengying Fusion Cuisine,,ChIJB9pl317R1IkRMre3SeifSxg,"3250 Midland Ave Unit G126, Scarborough, ON M1V 0C4",43.8050797,-79.2875253,"restaurant,food,point_of_interest,establishment"
Asian Fusion,Fusia Asian Kitchen,1,ChIJGeCNAMs0K4gRo0oRtUbvsm8,"595 Bay St., Toronto, ON M5G 2C2",43.6559781,-79.383538,"asian_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,InspirAsian Foods - Temp. CLOSED,,ChIJUcxkNDZIK4gRqb85gvQJfFg,"3288 Lake Shore Blvd W, Etobicoke, ON M8V 1M4",43.5970394,-79.523542,"restaurant,food,point_of_interest,establishment"
Asian Fusion,Guu Izakaya Toronto,2,ChIJAR_df6w1K4gR3APT8XI-acY,"1314 Queen St W, Toronto, ON M6K 1L4",43.6418836,-79.4311047,"japanese_restaurant,restaurant,food,point_of_interest,establishment"
Australian,Kanga,1,ChIJhYdh1s80K4gRQNrXOimhfPE,"65 Duncan St, Toronto, ON M5V 1Z4",43.6499884,-79.3890737,"restaurant,food,point_of_interest,establishment"
Australian,Kanga Aussie Meat Pies,1,,,,,
Australian,Kanga Pies,2,,,,,
Austrian,Bread & Butter,1,ChIJcdq7tTYzK4gRq0RV14_1Jnk,"507 Mt Pleasant Rd, Toronto, ON M4S 2L9",43.7015749,-79.3872567,"restaurant,food,point_of_interest,establishment"
Bangladeshi,Georgia Restaurant,2,ChIJSTa0twYuK4gRXbUQNV2tSbc,"1118 Finch Ave W Unit 2, North York, ON M3J 3J4",43.7676542,-79.4749394,"restaurant,point_of_interest,food,establishment"
Bangladeshi,Cafe D Taj,2,ChIJQWit9JDO1IkRHbiHgyXvZIA,"3342 Danforth Ave, Scarborough, ON M1L 1C9",43.6938945,-79.2775082,"restaurant,asian_restaurant,food,point_of_interest,establishment"
Bangladeshi,Adi Biryani & Kabab House,,ChIJrS9XfWDO1IkRqXiAXbT8qWk,"462 Birchmount Rd, Scarborough, ON M1K 1N8",43.7076175,-79.2692659,"indian_restaurant,restaurant,food,point_of_interest,establishment"
Bangladeshi,Dhaka Biryani House,,ChIJcUC2ac_P1IkR0W6K6WYRpoo,"50 Danforth Rd Unit#3, Scarborough, ON M1L 3W4",43.6952842,-79.2763247,"restaurant,point_of_interest,food,establishment"
Bangladeshi,Indian Biriyani House,1,ChIJ5S3jWsk0K4gRvNt87s-L69s,"181 Dundas St W, Toronto, ON M5G 1C7",43.65499,-79.386511,"indian_restaurant,asian_restaurant,meal_delivery,meal_takeaway,food_delivery,restaurant,food,point_of_interest,establishment"
Barbeque,Smoque N’ Bones,2,ChIJCeEFo-M0K4gRrgTiqDp7eOY,"869 Queen St W, Toronto, ON M6J 1G4",43.6456899,-79.4107304,"barbecue_restaurant,bar_and_grill,bar,meal_takeaway,restaurant,food,point_of_interest,establishment"
